date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:55:05	452/452	---MCZ	200	added ('OK')	text/plain	date:Sun,%2010%20Aug%202025%2006:55:05%20GMT	https://shopgrowgarden.com/robots.txt		(from )
13:55:05	89599/89599	---MCZ	200	added ('OK')	text/html	date:Sun,%2010%20Aug%202025%2006:55:05%20GMT	https://shopgrowgarden.com/	C:/Users/Asus/Desktop/shop%203/shop/shopgrowgarden.com/index.html	(from )
13:55:18	265508/265508	---MCZ	200	added ('OK')	text/css	date:Sat,%2028%20Jun%202025%2014:44:21%20GMT	https://shopgrowgarden.com/assets/css/styles.css?=126	C:/Users/Asus/Desktop/shop%203/shop/shopgrowgarden.com/assets/css/stylesdfb3.css	(from https://shopgrowgarden.com/)
13:55:18	63781/63781	---MCZ	200	added ('OK')	text/css	date:Thu,%2019%20Jun%202025%2014:48:55%20GMT	https://unpkg.com/boxicons@2.0.9/css/boxicons.min.css	C:/Users/Asus/Desktop/shop%203/shop/unpkg.com/boxicons@2.0.9/css/boxicons.min.css	(from https://shopgrowgarden.com/)
13:55:19	86927/86927	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-1538f%22	https://code.jquery.com/jquery-3.3.1.min.js	C:/Users/Asus/Desktop/shop%203/shop/code.jquery.com/jquery-3.3.1.min.js	(from https://shopgrowgarden.com/)
13:55:20	5674/5674	---MCZ	200	added ('OK')	application/javascript	etag:W/%22162a-+bHVRc9Mhd3adT/5YJ7eVp2Ssx8%22	https://cdn.jsdelivr.net/npm/lazyload@2.0.0-rc.2/lazyload.js	C:/Users/Asus/Desktop/shop%203/shop/cdn.jsdelivr.net/npm/lazyload@2.0.0-rc.2/lazyload.js	(from https://shopgrowgarden.com/)
13:55:20	274714/274714	---MCZ	200	added ('OK')	text/css	date:Sat,%2028%20Jun%202025%2014:44:21%20GMT	https://shopgrowgarden.com/assets/css/modal.css?=157	C:/Users/Asus/Desktop/shop%203/shop/shopgrowgarden.com/assets/css/modald6a0.css	(from https://shopgrowgarden.com/)
13:55:20	1497436/1497436	---M--	200	added ('OK')	image/png	date:Mon,%2030%20Jun%202025%2013:33:21%20GMT	https://i.ibb.co/JjN8mQ32/74b34e148c58fabd4ad53fe68bd2c4f9-png.png	C:/Users/Asus/Desktop/shop%203/shop/i.ibb.co/JjN8mQ32/74b34e148c58fabd4ad53fe68bd2c4f9-png.png	(from https://shopgrowgarden.com/)
13:55:20	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%225eb03e5f-7918%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	C:/Users/Asus/Desktop/shop%203/shop/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	(from https://shopgrowgarden.com/)
13:55:29	95300/95300	---M--	200	added ('OK')	image/png	date:Mon,%2030%20Jun%202025%2013:53:30%20GMT	https://i.ibb.co/M5Dj4rpk/8574d186247eba75669b7d50d42bd650-png.png	C:/Users/Asus/Desktop/shop%203/shop/i.ibb.co/M5Dj4rpk/8574d186247eba75669b7d50d42bd650-png.png	(from https://shopgrowgarden.com/)
13:55:30	42863/42863	---M-Z	200	added ('OK')	application/javascript	etag:%2265999b46-286a%22	https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/slick.min.js	C:/Users/Asus/Desktop/shop%203/shop/cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/slick.min.js	(from https://shopgrowgarden.com/)
13:55:52	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2010%20Aug%202025%2006:55:51%20GMT	https://i.imgur.com/CCh426m.png	C:/Users/Asus/Desktop/shop%203/shop/i.imgur.com/CCh426m.a.delayed	(from https://shopgrowgarden.com/)
13:55:52	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2010%20Aug%202025%2006:55:52%20GMT	https://i.imgur.com/eLV5Hj1.png	C:/Users/Asus/Desktop/shop%203/shop/i.imgur.com/eLV5Hj1.b.delayed	(from https://shopgrowgarden.com/)
13:55:55	31812/31812	---MCZ	200	added ('OK')	text/html	date:Sun,%2010%20Aug%202025%2006:55:53%20GMT	https://shopgrowgarden.com/views/account/7	C:/Users/Asus/Desktop/shop%203/shop/shopgrowgarden.com/views/account/7.html	(from https://shopgrowgarden.com/)
13:55:59	32069/32069	---MCZ	200	added ('OK')	text/html	date:Sun,%2010%20Aug%202025%2006:55:57%20GMT	https://shopgrowgarden.com/views/account/17	C:/Users/Asus/Desktop/shop%203/shop/shopgrowgarden.com/views/account/17.html	(from https://shopgrowgarden.com/)
13:55:59	68319/68319	---M--	200	added ('OK')	image/jpeg	date:Tue,%2001%20Jul%202025%2013:49:34%20GMT	https://i.ibb.co/bj0qv1m3/9f420c184c0888c4d743dacb37298189-jpg.jpg	C:/Users/Asus/Desktop/shop%203/shop/i.ibb.co/bj0qv1m3/9f420c184c0888c4d743dacb37298189-jpg.jpg	(from https://shopgrowgarden.com/)
13:56:00	31818/31818	---MCZ	200	added ('OK')	text/html	date:Sun,%2010%20Aug%202025%2006:55:59%20GMT	https://shopgrowgarden.com/views/account/4	C:/Users/Asus/Desktop/shop%203/shop/shopgrowgarden.com/views/account/4.html	(from https://shopgrowgarden.com/)
13:56:00	482757/482757	---M--	200	added ('OK')	image/jpeg	date:Tue,%2001%20Jul%202025%2017:25:37%20GMT	https://i.ibb.co/YTkQJq3c/0ee668848046f6a144ebda22030e8b13-jpg.jpg	C:/Users/Asus/Desktop/shop%203/shop/i.ibb.co/YTkQJq3c/0ee668848046f6a144ebda22030e8b13-jpg.jpg	(from https://shopgrowgarden.com/)
13:56:01	21433/21433	---MCZ	200	added ('OK')	text/html	date:Sun,%2010%20Aug%202025%2006:56:01%20GMT	https://shopgrowgarden.com/random/giam-gia-acc-random-grow-a-garden-vip	C:/Users/Asus/Desktop/shop%203/shop/shopgrowgarden.com/random/giam-gia-acc-random-grow-a-garden-vip.html	(from https://shopgrowgarden.com/)
